Province,Occupation,Gender,Employment
Ontario,21301 Mechanical engineers,Total,25235
Ontario,21301 Mechanical engineers,Men,22555
Ontario,21301 Mechanical engineers,Women,2675
Ontario,21310 Electrical and electronics engineers,Total,20650
Ontario,21310 Electrical and electronics engineers,Men,17980
Ontario,21310 Electrical and electronics engineers,Women,2665
Ontario,21311 Computer engineers (except software engineers and designers),Total,14235
Ontario,21311 Computer engineers (except software engineers and designers),Men,12425
Ontario,21311 Computer engineers (except software engineers and designers),Women,1805
Ontario,3 Health occupations,Total,578200
Ontario,3 Health occupations,Men,115790
Ontario,3 Health occupations,Women,462405
Ontario,31301 Registered nurses and registered psychiatric nurses,Total,123505
Ontario,31301 Registered nurses and registered psychiatric nurses,Men,11215
Ontario,31301 Registered nurses and registered psychiatric nurses,Women,112295
Ontario,31302 Nurse practitioners,Total,3630
Ontario,31302 Nurse practitioners,Men,285
Ontario,31302 Nurse practitioners,Women,3340
Ontario,32101 Licensed practical nurses,Total,24200
Ontario,32101 Licensed practical nurses,Men,2660
Ontario,32101 Licensed practical nurses,Women,21540
Ontario,"33102 Nurse aides, orderlies and patient service associates",Total,135320
Ontario,"33102 Nurse aides, orderlies and patient service associates",Men,16110
Ontario,"33102 Nurse aides, orderlies and patient service associates",Women,119210
Ontario,"4 Occupations in education, law and social, community and government services",Total,957480
Ontario,"4 Occupations in education, law and social, community and government services",Men,316155
Ontario,"4 Occupations in education, law and social, community and government services",Women,641320
Ontario,40040 Commissioned police officers and related occupations in public protection services,Total,710
Ontario,40040 Commissioned police officers and related occupations in public protection services,Men,495
Ontario,40040 Commissioned police officers and related occupations in public protection services,Women,215
Ontario,4131 Police investigators and probation officers,Total,3590
Ontario,4131 Police investigators and probation officers,Men,1740
Ontario,4131 Police investigators and probation officers,Women,1850
Ontario,41310 Police investigators and other investigative occupations,Total,1835
Ontario,41310 Police investigators and other investigative occupations,Men,1345
Ontario,41310 Police investigators and other investigative occupations,Women,495
Ontario,42100 Police officers (except commissioned),Total,27175
Ontario,42100 Police officers (except commissioned),Men,20905
Ontario,42100 Police officers (except commissioned),Women,6270
Ontario,42101 Firefighters,Total,13360
Ontario,42101 Firefighters,Men,12485
Ontario,42101 Firefighters,Women,870
Ontario,"5 Occupations in art, culture, recreation and sport",Total,272540
Ontario,"5 Occupations in art, culture, recreation and sport",Men,123405
Ontario,"5 Occupations in art, culture, recreation and sport",Women,149130
Ontario,6 Sales and service occupations,Total,1978335
Ontario,6 Sales and service occupations,Men,877765
Ontario,6 Sales and service occupations,Women,1100565
Ontario,"7 Trades, transport and equipment operators and related occupations",Total,1278455
Ontario,"7 Trades, transport and equipment operators and related occupations",Men,1153435
Ontario,"7 Trades, transport and equipment operators and related occupations",Women,125020
Ontario,"8 Natural resources, agriculture and related production occupations",Total,168470
Ontario,"8 Natural resources, agriculture and related production occupations",Men,126660
Ontario,"8 Natural resources, agriculture and related production occupations",Women,41815
Ontario,9 Occupations in manufacturing and utilities,Total,405660
Ontario,9 Occupations in manufacturing and utilities,Men,273785
Ontario,9 Occupations in manufacturing and utilities,Women,131870
Manitoba,0 Legislative and senior management occupations,Total,6705
Manitoba,0 Legislative and senior management occupations,Men,4385
Manitoba,0 Legislative and senior management occupations,Women,2320
Manitoba,"1 Business, finance and administration occupations",Total,115275
Manitoba,"1 Business, finance and administration occupations",Men,35445
Manitoba,"1 Business, finance and administration occupations",Women,79830
Manitoba,2 Natural and applied sciences and related occupations,Total,41015
Manitoba,2 Natural and applied sciences and related occupations,Men,31450
Manitoba,2 Natural and applied sciences and related occupations,Women,9565
Manitoba,21301 Mechanical engineers,Total,1415
